X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8523585,1.283536606,9544,PENINSULAR & ORIENTAL STEAM NAVIGATION CO.,東方輪船公司,Collyer Quay,11-A,Shipping Merchants,5455,"""PENINSULAR""",1840,"£7,649,853","Local Rep: Islay Kerr Co., Ltd",,,Inc. in England by Royal Charter,733,
103.8523585,1.283536606,9784,QUAY PROPERTIES LTD.,基資產有限公司,Collyer Quay,11-A,Real Estates and Developing Land,NA,NA,1947,"$10,000",Directors: Alexander Kirkwood Brown,,,,751,
103.8524139,1.283673561,10585,SHELL HOUSE (SINGAPORE) LIMITED,新加坡蛤殻土油公司,Collyer Quay,12,Property Owners,NA,NA,NA,"$2,000,000",Directors: William George Taylor,,,(The Shell CO. of S.S. Ltd.),826,
103.8524139,1.283673561,10583,THE SHELL CO OF FEDERATED MALAY STATES LTD.,馬來聯邦蛤殼土油公司,"Collyer Quay, Shell House",12,Suppliers of Mineral Oil,3811,NA,1911,"£150,000",Local Rep: Palmer Donald Horsley,,,Inc. In England,826,
103.8524139,1.283673561,10584,THE SHELL CO. OF SINGAPORE LTD.,新加坡蛤殻土油公司,"Collyer Quay, Shell House",12,Suppliers of Mineral Oil,NA,NA,1911,"£750,000",Local Rep: Palmer Donald Horsley,,,Inc. In England,826,
103.8524618,1.283791836,4532,HONG KONG CO.,香源公司,Collyer Quay,13,Fancy Goods and Curios Dealers,NA,NA,1946,NA,Lim Pue Kie,林培基,,,333,
103.8524618,1.283791836,4583,HONGKONG CO. SHOE DEPT.,香港公司鞋部,Collyer Quay,13,Selling and Servicing Shoes,83218,NA,1946,NA,Heng Poh Hoon,王步雲,,,337,
103.8524618,1.283791836,8940,K. M. B. NASRUDIN BROS.,那氏愈珍兄弟公司,Collyer Quay,13,"Cigarettes, Cigars and Sundries Retailers",NA,NA,1941,NA,Kana Moona Bacha,,,,685,
103.8525075,1.283904558,8350,S. M. MOHAMED NATHER,摩哈默那德,Collyer Quay,14-1,Coffee Shop,NA,NA,1942,NA,Sena Moona Mohamed Nather,,,,634,
103.8525953,1.284121672,2438,CITY BOOK STORE LIMITED,國際書店有限公司,Collyer Quay,16,"Booksellers, Publishers, Newsagents",6657,"""CITIBOOK.""",1948,"$500,000",Cheng Chin Kun,,,,170,
